Nature,Synthesis
0.005628401781296388,0.002368683510638298
0.0041749134092033645,0.0021712932180851063
0.00444293254164605,0.0029400764627659573
0.003391472868217054,0.004020528590425532
0.0021183819891143,0.0023582945478723403
0.006118052119412832,0.0025245179521276597
0.004298614547253834,0.00484125664893617
0.0032471548738248392,0.0023998503989361704
0.0012679366650173182,0.0023582945478723403
0.001530801583374567,0.0024102393617021277
0.0036904172851723567,0.0029920212765957447
0.004396544614877124,0.0023063497340425534
0.0017008906481939634,0.0023063497340425534
0.005056284017812964,0.0024829621010638296
0.0030925284512617517,0.003397190824468085
0.0018709797130133598,0.0024517952127659573
0.0022060036285667163,0.0022959607712765956
0.0014328715157512783,0.0023375166223404257
0.0027214250371103412,0.002836186835106383
0.0049531997361042385,0.0038023603723404257
0.0022111578426521525,0.002327127659574468
0.004149142338776183,0.0023894614361702126
0.004468703612073231,0.004571143617021277
0.005076900874154709,0.0025972406914893617
0.002896668316015174,0.002534906914893617
0.0023760926933861126,0.0025972406914893617
0.0045202457529275935,0.008196891622340425
0.003654337786574303,0.002254404920212766
0.0012163945241629556,0.0022232380319148937
0.002999752597723899,0.00244140625
0.002221466270823025,0.0032725232712765956
0.003772884710539337,0.0026595744680851063
0.003468786079498598,0.0023894614361702126
0.003520328220352961,0.0022959607712765956
0.003159533234372423,0.003116688829787234
0.005561396998185717,0.004249085771276596
0.0028605888174171204,0.002327127659574468
0.005216064654461488,0.007396941489361702
0.005937654626422563,0.004550365691489362
0.007545769421078674,0.0025868517287234044
0.004432624113475178,0.002721908244680851
0.003097682665347188,0.0029608543882978723
0.007432376711199076,0.025099734042553192
0.0033966270823024905,0.002607629654255319
0.0036594920006597395,0.0025452958776595743
0.0033193138710209467,0.002836186835106383
0.0036388751443179944,0.0037815824468085107
0.0019895266369783934,0.0029608543882978723
0.0026131865413161802,0.0029400764627659573
0.0011545439551377205,0.0028465757978723403
0.002391555335642421,0.0034595246010638296
0.004942891307933366,0.025245179521276594
0.005453158502391555,0.0027842420212765956
0.005051129803727528,0.002763464095744681
0.00843229424377371,0.004768533909574468
0.004272843476826654,0.0023582945478723403
0.0035254824344383966,0.0028777426861702126
0.004458395183902358,0.002815408909574468
0.0055717054263565895,0.0035634142287234044
0.0027214250371103412,0.002534906914893617
0.0021183819891143,0.0026803523936170214
0.002896668316015174,0.0028050199468085107
0.002752350321622959,0.0031894115691489364
0.003020369454065644,0.0026387965425531913
0.004288306119082963,0.0029192985372340427
0.0028915141019297376,0.0027530751329787233
0.003195612732970477,0.003345246010638298
0.0018503628566716146,0.004186751994680851
0.0026131865413161802,0.0026387965425531913
0.00440169882896256,0.0027530751329787233
0.004345002474022761,0.004612699468085107
0.00559747649678377,0.002856964760638298
0.004061520699323767,0.02388422539893617
0.0026183407554016165,0.0030127992021276597
0.007989031832426191,0.0033764128989361704
0.004350156688108197,0.0027011303191489364
0.005133597229094507,0.0025868517287234044
0.004922274451591622,0.0028465757978723403
0.005649018637638133,0.0034075797872340427
0.0033193138710209467,0.002763464095744681
0.005746948705261422,0.002742686170212766
0.0024379432624113476,0.0023998503989361704
0.005989196767276926,0.0035426363031914893
0.003778038924624773,0.00435297539893617
0.003309005442850074,0.002815408909574468
0.003669800428830612,0.0027322972074468087
0.0070200395843641765,0.004425698138297873
0.006623165099785585,0.0027322972074468087
0.0049377370938479305,0.0027530751329787233
0.002412172191984166,0.0028985206117021277
0.008710621804387267,0.009100731382978724
0.005525317499587663,0.0028257978723404257
0.003716188355599538,0.002607629654255319
0.003695571499257793,0.0027738530585106383
0.00460786739238001,0.0033556349734042553
0.005659327065809005,0.023956948138297872
0.006963343229424377,0.0026699634308510636
0.003040986310407389,0.002607629654255319
0.0054428500742206825,0.0036776928191489364
0.007447839353455385,0.003916638962765957
0.006293295398317664,0.0028673537234042553
0.006525235032162296,0.008030668218085107
0.010725919511792841,0.004768533909574468
